Designator,Mid X,Mid Y,Rotation,Layer
C1,87.2,-48.5,270.0,top
C2,79.8,-47.3,270.0,top
D1,46.46,-33.5,0.0,top
D2,46.46,-26.5,0.0,top
D3,46.46,-30.0,0.0,top
D4,75.8,-62.9,90.0,top
D5,78.1,-62.9,90.0,top
D6,67.33,-85.7175,180.0,top
D7,61.83,-85.7175,180.0,top
D8,56.53,-85.7175,180.0,top
D9,50.93,-85.6175,180.0,top
J1,91.16,-72.7,270.0,top
J10,63.6,-90.575,0.0,top
J11,54.45,-90.6,0.0,top
J12,45.25,-90.6,0.0,top
J13,26.2,-52.0,0.0,top
J14,38.5,-52.0,0.0,top
J15,26.2,-63.0,0.0,top
J16,38.6,-63.2,0.0,top
J17,25.8,-74.4,0.0,top
J18,38.7,-74.7,0.0,top
J19,100.425,-51.8,90.0,top
J2,97.32055,-36.172,90.0,top
J20,39.9,-39.86,0.0,top
J3,27.37945,-36.128,270.0,top
J4,80.3,-25.1,90.0,top
J5,92.4,-50.45,270.0,top
J6,33.85,-90.2,0.0,top
J7,95.25,-78.0,0.0,top
J8,92.1,-90.3,0.0,top
J9,72.75,-90.6,0.0,top
PS1,80.4,-88.36,270.0,top
R1,90.8,-56.2,270.0,top
R10,42.56,-26.5,0.0,top
R11,42.56,-30.0,0.0,top
R12,80.3,-22.3,90.0,top
R13,89.4,-29.3,180.0,top
R14,35.5,-42.8,0.0,top
R15,89.4,-40.7,180.0,top
R16,35.51,-31.6,0.0,top
R17,64.53,-76.0175,270.0,top
R18,59.13,-76.0175,270.0,top
R19,53.73,-76.0175,270.0,top
R2,89.8,-56.2,270.0,top
R20,48.13,-76.1175,270.0,top
R21,89.4,-35.7,0.0,top
R22,35.4,-34.1,180.0,top
R23,89.4,-34.5,0.0,top
R24,35.39,-37.2,180.0,top
R3,88.8,-56.2,270.0,top
R4,87.8,-56.2,270.0,top
R5,93.9,-56.2,90.0,top
R6,92.9,-56.2,90.0,top
R7,78.1,-65.8,90.0,top
R8,75.8,-65.8,90.0,top
R9,42.46,-33.3,0.0,top
SW1,100.8,-72.0,0.0,top
SW2,81.585,-54.6,270.0,top
U1,59.18,-48.15,180.0,top
U2,78.1,-77.495,0.0,top
U3,82.555,-47.2,270.0,top
U4,80.8,-31.1,90.0,top
U5,67.23,-79.85,270.0,top
U6,61.83,-79.85,270.0,top
U7,93.04,-63.59,270.0,top
U8,56.43,-79.85,270.0,top
U9,51.03,-79.85,270.0,top
